id,title,ward_type,description,review_cues,simulation_only
ward-sim-acute-medical-01,Acute Medical documentation and handover review,acute medical,"Simulation-only ward scenario focused on documentation gaps, handover completeness and human review. Fictional patients only; human review required and clinical judgement remains central.","[""flag-acute-medical-documentation"",""flag-acute-medical-handover"",""flag-acute-medical-learning""]",true
ward-sim-acute-medical-02,Acute Medical escalation readiness review,acute medical,Simulation-only ward scenario focused on escalation readiness cues and visible ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-acute-medical-escalation"",""flag-acute-medical-deteriorating-obs"",""flag-acute-medical-handover""]",true
ward-sim-acute-medical-03,Acute Medical discharge-readiness review,acute medical,Simulation-only ward scenario focused on discharge-readiness blockers and documented follow-up ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-acute-medical-discharge"",""flag-acute-medical-documentation"",""flag-acute-medical-handover""]",true
ward-sim-acute-medical-04,Acute Medical medicine timing documentation review,acute medical,"Simulation-only ward scenario focused on medicine timing, notes and review ownership. Fictional patients only; human review required and clinical judgement remains central.","[""flag-acute-medical-medication-timing"",""flag-acute-medical-documentation"",""flag-acute-medical-learning""]",true
ward-sim-acute-medical-05,Acute Medical observation trend review,acute medical,"Simulation-only ward scenario focused on NEWS2 observation sets, trend visibility and structured review support. Fictional patients only; human review required and clinical judgement remains central.","[""flag-acute-medical-deteriorating-obs"",""flag-acute-medical-escalation"",""flag-acute-medical-documentation""]",true
ward-sim-day-care-01,Day Care documentation and handover review,day care,"Simulation-only ward scenario focused on documentation gaps, handover completeness and human review. Fictional patients only; human review required and clinical judgement remains central.","[""flag-day-care-documentation"",""flag-day-care-handover"",""flag-day-care-learning""]",true
ward-sim-day-care-02,Day Care escalation readiness review,day care,Simulation-only ward scenario focused on escalation readiness cues and visible ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-day-care-escalation"",""flag-day-care-deteriorating-obs"",""flag-day-care-handover""]",true
ward-sim-day-care-03,Day Care discharge-readiness review,day care,Simulation-only ward scenario focused on discharge-readiness blockers and documented follow-up ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-day-care-discharge"",""flag-day-care-documentation"",""flag-day-care-handover""]",true
ward-sim-day-care-04,Day Care medicine timing documentation review,day care,"Simulation-only ward scenario focused on medicine timing, notes and review ownership. Fictional patients only; human review required and clinical judgement remains central.","[""flag-day-care-medication-timing"",""flag-day-care-documentation"",""flag-day-care-learning""]",true
ward-sim-day-care-05,Day Care observation trend review,day care,"Simulation-only ward scenario focused on NEWS2 observation sets, trend visibility and structured review support. Fictional patients only; human review required and clinical judgement remains central.","[""flag-day-care-deteriorating-obs"",""flag-day-care-escalation"",""flag-day-care-documentation""]",true
ward-sim-community-frailty-team-01,Community Frailty Team documentation and handover review,community frailty team,"Simulation-only ward scenario focused on documentation gaps, handover completeness and human review. Fictional patients only; human review required and clinical judgement remains central.","[""flag-community-frailty-team-documentation"",""flag-community-frailty-team-handover"",""flag-community-frailty-team-learning""]",true
ward-sim-community-frailty-team-02,Community Frailty Team escalation readiness review,community frailty team,Simulation-only ward scenario focused on escalation readiness cues and visible ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-community-frailty-team-escalation"",""flag-community-frailty-team-deteriorating-obs"",""flag-community-frailty-team-handover""]",true
ward-sim-community-frailty-team-03,Community Frailty Team discharge-readiness review,community frailty team,Simulation-only ward scenario focused on discharge-readiness blockers and documented follow-up ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-community-frailty-team-discharge"",""flag-community-frailty-team-documentation"",""flag-community-frailty-team-handover""]",true
ward-sim-community-frailty-team-04,Community Frailty Team medicine timing documentation review,community frailty team,"Simulation-only ward scenario focused on medicine timing, notes and review ownership. Fictional patients only; human review required and clinical judgement remains central.","[""flag-community-frailty-team-medication-timing"",""flag-community-frailty-team-documentation"",""flag-community-frailty-team-learning""]",true
ward-sim-community-frailty-team-05,Community Frailty Team observation trend review,community frailty team,"Simulation-only ward scenario focused on NEWS2 observation sets, trend visibility and structured review support. Fictional patients only; human review required and clinical judgement remains central.","[""flag-community-frailty-team-deteriorating-obs"",""flag-community-frailty-team-escalation"",""flag-community-frailty-team-documentation""]",true
ward-sim-rehab-01,Rehab documentation and handover review,rehab,"Simulation-only ward scenario focused on documentation gaps, handover completeness and human review. Fictional patients only; human review required and clinical judgement remains central.","[""flag-rehab-documentation"",""flag-rehab-handover"",""flag-rehab-learning""]",true
ward-sim-rehab-02,Rehab escalation readiness review,rehab,Simulation-only ward scenario focused on escalation readiness cues and visible ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-rehab-escalation"",""flag-rehab-deteriorating-obs"",""flag-rehab-handover""]",true
ward-sim-rehab-03,Rehab discharge-readiness review,rehab,Simulation-only ward scenario focused on discharge-readiness blockers and documented follow-up ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-rehab-discharge"",""flag-rehab-documentation"",""flag-rehab-handover""]",true
ward-sim-rehab-04,Rehab medicine timing documentation review,rehab,"Simulation-only ward scenario focused on medicine timing, notes and review ownership. Fictional patients only; human review required and clinical judgement remains central.","[""flag-rehab-medication-timing"",""flag-rehab-documentation"",""flag-rehab-learning""]",true
ward-sim-rehab-05,Rehab observation trend review,rehab,"Simulation-only ward scenario focused on NEWS2 observation sets, trend visibility and structured review support. Fictional patients only; human review required and clinical judgement remains central.","[""flag-rehab-deteriorating-obs"",""flag-rehab-escalation"",""flag-rehab-documentation""]",true
ward-sim-care-of-the-elderly-01,Care Of The Elderly documentation and handover review,care-of-the-elderly,"Simulation-only ward scenario focused on documentation gaps, handover completeness and human review. Fictional patients only; human review required and clinical judgement remains central.","[""flag-care-of-the-elderly-documentation"",""flag-care-of-the-elderly-handover"",""flag-care-of-the-elderly-learning""]",true
ward-sim-care-of-the-elderly-02,Care Of The Elderly escalation readiness review,care-of-the-elderly,Simulation-only ward scenario focused on escalation readiness cues and visible ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-care-of-the-elderly-escalation"",""flag-care-of-the-elderly-deteriorating-obs"",""flag-care-of-the-elderly-handover""]",true
ward-sim-care-of-the-elderly-03,Care Of The Elderly discharge-readiness review,care-of-the-elderly,Simulation-only ward scenario focused on discharge-readiness blockers and documented follow-up ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-care-of-the-elderly-discharge"",""flag-care-of-the-elderly-documentation"",""flag-care-of-the-elderly-handover""]",true
ward-sim-care-of-the-elderly-04,Care Of The Elderly medicine timing documentation review,care-of-the-elderly,"Simulation-only ward scenario focused on medicine timing, notes and review ownership. Fictional patients only; human review required and clinical judgement remains central.","[""flag-care-of-the-elderly-medication-timing"",""flag-care-of-the-elderly-documentation"",""flag-care-of-the-elderly-learning""]",true
ward-sim-care-of-the-elderly-05,Care Of The Elderly observation trend review,care-of-the-elderly,"Simulation-only ward scenario focused on NEWS2 observation sets, trend visibility and structured review support. Fictional patients only; human review required and clinical judgement remains central.","[""flag-care-of-the-elderly-deteriorating-obs"",""flag-care-of-the-elderly-escalation"",""flag-care-of-the-elderly-documentation""]",true
ward-sim-paediatrics-01,Paediatrics documentation and handover review,paediatrics,"Simulation-only ward scenario focused on documentation gaps, handover completeness and human review. Fictional patients only; human review required and clinical judgement remains central.","[""flag-paediatrics-documentation"",""flag-paediatrics-handover"",""flag-paediatrics-learning""]",true
ward-sim-paediatrics-02,Paediatrics escalation readiness review,paediatrics,Simulation-only ward scenario focused on escalation readiness cues and visible ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-paediatrics-escalation"",""flag-paediatrics-deteriorating-obs"",""flag-paediatrics-handover""]",true
ward-sim-paediatrics-03,Paediatrics discharge-readiness review,paediatrics,Simulation-only ward scenario focused on discharge-readiness blockers and documented follow-up ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-paediatrics-discharge"",""flag-paediatrics-documentation"",""flag-paediatrics-handover""]",true
ward-sim-paediatrics-04,Paediatrics medicine timing documentation review,paediatrics,"Simulation-only ward scenario focused on medicine timing, notes and review ownership. Fictional patients only; human review required and clinical judgement remains central.","[""flag-paediatrics-medication-timing"",""flag-paediatrics-documentation"",""flag-paediatrics-learning""]",true
ward-sim-paediatrics-05,Paediatrics observation trend review,paediatrics,"Simulation-only ward scenario focused on NEWS2 observation sets, trend visibility and structured review support. Fictional patients only; human review required and clinical judgement remains central.","[""flag-paediatrics-deteriorating-obs"",""flag-paediatrics-escalation"",""flag-paediatrics-documentation""]",true
ward-sim-maternity-01,Maternity documentation and handover review,maternity,"Simulation-only ward scenario focused on documentation gaps, handover completeness and human review. Fictional patients only; human review required and clinical judgement remains central.","[""flag-maternity-documentation"",""flag-maternity-handover"",""flag-maternity-learning""]",true
ward-sim-maternity-02,Maternity escalation readiness review,maternity,Simulation-only ward scenario focused on escalation readiness cues and visible ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-maternity-escalation"",""flag-maternity-deteriorating-obs"",""flag-maternity-handover""]",true
ward-sim-maternity-03,Maternity discharge-readiness review,maternity,Simulation-only ward scenario focused on discharge-readiness blockers and documented follow-up ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-maternity-discharge"",""flag-maternity-documentation"",""flag-maternity-handover""]",true
ward-sim-maternity-04,Maternity medicine timing documentation review,maternity,"Simulation-only ward scenario focused on medicine timing, notes and review ownership. Fictional patients only; human review required and clinical judgement remains central.","[""flag-maternity-medication-timing"",""flag-maternity-documentation"",""flag-maternity-learning""]",true
ward-sim-maternity-05,Maternity observation trend review,maternity,"Simulation-only ward scenario focused on NEWS2 observation sets, trend visibility and structured review support. Fictional patients only; human review required and clinical judgement remains central.","[""flag-maternity-deteriorating-obs"",""flag-maternity-escalation"",""flag-maternity-documentation""]",true
ward-sim-icu-hdu-01,ICU/HDU documentation and handover review,ICU/HDU,"Simulation-only ward scenario focused on documentation gaps, handover completeness and human review. Fictional patients only; human review required and clinical judgement remains central.","[""flag-icu-hdu-documentation"",""flag-icu-hdu-handover"",""flag-icu-hdu-learning""]",true
ward-sim-icu-hdu-02,ICU/HDU escalation readiness review,ICU/HDU,Simulation-only ward scenario focused on escalation readiness cues and visible ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-icu-hdu-escalation"",""flag-icu-hdu-deteriorating-obs"",""flag-icu-hdu-handover""]",true
ward-sim-icu-hdu-03,ICU/HDU discharge-readiness review,ICU/HDU,Simulation-only ward scenario focused on discharge-readiness blockers and documented follow-up ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-icu-hdu-discharge"",""flag-icu-hdu-documentation"",""flag-icu-hdu-handover""]",true
ward-sim-icu-hdu-04,ICU/HDU medicine timing documentation review,ICU/HDU,"Simulation-only ward scenario focused on medicine timing, notes and review ownership. Fictional patients only; human review required and clinical judgement remains central.","[""flag-icu-hdu-medication-timing"",""flag-icu-hdu-documentation"",""flag-icu-hdu-learning""]",true
ward-sim-icu-hdu-05,ICU/HDU observation trend review,ICU/HDU,"Simulation-only ward scenario focused on NEWS2 observation sets, trend visibility and structured review support. Fictional patients only; human review required and clinical judgement remains central.","[""flag-icu-hdu-deteriorating-obs"",""flag-icu-hdu-escalation"",""flag-icu-hdu-documentation""]",true
ward-sim-ed-01,ED documentation and handover review,ED,"Simulation-only ward scenario focused on documentation gaps, handover completeness and human review. Fictional patients only; human review required and clinical judgement remains central.","[""flag-ed-documentation"",""flag-ed-handover"",""flag-ed-learning""]",true
ward-sim-ed-02,ED escalation readiness review,ED,Simulation-only ward scenario focused on escalation readiness cues and visible ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-ed-escalation"",""flag-ed-deteriorating-obs"",""flag-ed-handover""]",true
ward-sim-ed-03,ED discharge-readiness review,ED,Simulation-only ward scenario focused on discharge-readiness blockers and documented follow-up ownership. Fictional patients only; human review required and clinical judgement remains central.,"[""flag-ed-discharge"",""flag-ed-documentation"",""flag-ed-handover""]",true
ward-sim-ed-04,ED medicine timing documentation review,ED,"Simulation-only ward scenario focused on medicine timing, notes and review ownership. Fictional patients only; human review required and clinical judgement remains central.","[""flag-ed-medication-timing"",""flag-ed-documentation"",""flag-ed-learning""]",true
ward-sim-ed-05,ED observation trend review,ED,"Simulation-only ward scenario focused on NEWS2 observation sets, trend visibility and structured review support. Fictional patients only; human review required and clinical judgement remains central.","[""flag-ed-deteriorating-obs"",""flag-ed-escalation"",""flag-ed-documentation""]",true
