id,code,name,category,severity,description,trigger_signals,rationale_template,applicable_ward_types,simulation_only
flag-acute-medical-documentation,AMU_DOCUMENTATION_01,Acute Medical documentation gap cue,documentation,moderate,Simulation-only documentation gap cue for acute medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""electrolyte_plan_gap"",""documentation_note_open""]","Human review required: check visible documentation gap evidence, missing information and ownership before documenting the current simulation status.","[""acute medical""]",true
flag-acute-medical-electrolyte-review,AMU_ELECTROLYTE_REVIEW_02,Acute Medical electrolyte review cue,electrolyte-review,moderate,Simulation-only electrolyte review cue for acute medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""potassium"",""magnesium"",""creatinine_trend"",""electrolyte_plan_gap""]","Human review required: check visible electrolyte review evidence, missing information and ownership before documenting the current simulation status.","[""acute medical""]",true
flag-acute-medical-infection-review,AMU_INFECTION_REVIEW_03,Acute Medical infection review cue,infection-review,moderate,Simulation-only infection review cue for acute medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""urine_culture"",""NEWS2"",""infection_review_note""]","Human review required: check visible infection review evidence, missing information and ownership before documenting the current simulation status.","[""acute medical""]",true
flag-acute-medical-sepsis-screen,AMU_SEPSIS_SCREEN_04,Acute Medical sepsis-screen cue,sepsis-screen,high,Simulation-only sepsis-screen cue for acute medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""sepsis_screen"",""NEWS2""]","Human review required: check visible sepsis-screen evidence, missing information and ownership before documenting the current simulation status.","[""acute medical""]",true
flag-acute-medical-falls-risk,AMU_FALLS_RISK_05,Acute Medical falls-risk cue,falls-risk,low,Simulation-only falls-risk cue for acute medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""falls_risk"",""mobility_note""]","Human review required: check visible falls-risk evidence, missing information and ownership before documenting the current simulation status.","[""acute medical""]",true
flag-acute-medical-medication-timing,AMU_MEDICATION_TIMING_06,Acute Medical medication-timing cue,medication-timing,moderate,Simulation-only medication-timing cue for acute medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""medication_timing"",""medicine_chart_time""]","Human review required: check visible medication-timing evidence, missing information and ownership before documenting the current simulation status.","[""acute medical""]",true
flag-acute-medical-deteriorating-obs,AMU_DETERIORATING_OBS_07,Acute Medical deteriorating observations cue,deteriorating-obs,high,Simulation-only deteriorating observations cue for acute medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""deteriorating_obs"",""NEWS2""]","Human review required: check visible deteriorating observations evidence, missing information and ownership before documenting the current simulation status.","[""acute medical""]",true
flag-acute-medical-escalation,AMU_ESCALATION_08,Acute Medical escalation readiness cue,escalation,high,Simulation-only escalation readiness cue for acute medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""NEWS2"",""active_escalation""]","Human review required: check visible escalation readiness evidence, missing information and ownership before documenting the current simulation status.","[""acute medical""]",true
flag-acute-medical-handover,AMU_HANDOVER_09,Acute Medical handover completeness cue,handover,moderate,Simulation-only handover completeness cue for acute medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""handover_completion"",""open_task""]","Human review required: check visible handover completeness evidence, missing information and ownership before documenting the current simulation status.","[""acute medical""]",true
flag-acute-medical-discharge,AMU_DISCHARGE_10,Acute Medical discharge-readiness blocker cue,discharge,high,Simulation-only discharge-readiness blocker cue for acute medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""discharge_blocker"",""discharge_checklist""]","Human review required: check visible discharge-readiness blocker evidence, missing information and ownership before documenting the current simulation status.","[""acute medical""]",true
flag-acute-medical-learning,AMU_LEARNING_11,Acute Medical learning prompt cue,learning,low,Simulation-only learning prompt cue for acute medical workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""learning_prompt"",""simulation_scenario""]","Human review required: check visible learning prompt evidence, missing information and ownership before documenting the current simulation status.","[""acute medical""]",true
flag-day-care-documentation,DCU_DOCUMENTATION_01,Day Care documentation gap cue,documentation,moderate,Simulation-only documentation gap cue for day care workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""electrolyte_plan_gap"",""documentation_note_open""]","Human review required: check visible documentation gap evidence, missing information and ownership before documenting the current simulation status.","[""day care""]",true
flag-day-care-electrolyte-review,DCU_ELECTROLYTE_REVIEW_02,Day Care electrolyte review cue,electrolyte-review,moderate,Simulation-only electrolyte review cue for day care workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""potassium"",""magnesium"",""creatinine_trend"",""electrolyte_plan_gap""]","Human review required: check visible electrolyte review evidence, missing information and ownership before documenting the current simulation status.","[""day care""]",true
flag-day-care-infection-review,DCU_INFECTION_REVIEW_03,Day Care infection review cue,infection-review,moderate,Simulation-only infection review cue for day care workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""urine_culture"",""NEWS2"",""infection_review_note""]","Human review required: check visible infection review evidence, missing information and ownership before documenting the current simulation status.","[""day care""]",true
flag-day-care-sepsis-screen,DCU_SEPSIS_SCREEN_04,Day Care sepsis-screen cue,sepsis-screen,moderate,Simulation-only sepsis-screen cue for day care workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""sepsis_screen"",""NEWS2""]","Human review required: check visible sepsis-screen evidence, missing information and ownership before documenting the current simulation status.","[""day care""]",true
flag-day-care-falls-risk,DCU_FALLS_RISK_05,Day Care falls-risk cue,falls-risk,low,Simulation-only falls-risk cue for day care workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""falls_risk"",""mobility_note""]","Human review required: check visible falls-risk evidence, missing information and ownership before documenting the current simulation status.","[""day care""]",true
flag-day-care-medication-timing,DCU_MEDICATION_TIMING_06,Day Care medication-timing cue,medication-timing,moderate,Simulation-only medication-timing cue for day care workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""medication_timing"",""medicine_chart_time""]","Human review required: check visible medication-timing evidence, missing information and ownership before documenting the current simulation status.","[""day care""]",true
flag-day-care-deteriorating-obs,DCU_DETERIORATING_OBS_07,Day Care deteriorating observations cue,deteriorating-obs,high,Simulation-only deteriorating observations cue for day care workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""deteriorating_obs"",""NEWS2""]","Human review required: check visible deteriorating observations evidence, missing information and ownership before documenting the current simulation status.","[""day care""]",true
flag-day-care-escalation,DCU_ESCALATION_08,Day Care escalation readiness cue,escalation,high,Simulation-only escalation readiness cue for day care workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""NEWS2"",""active_escalation""]","Human review required: check visible escalation readiness evidence, missing information and ownership before documenting the current simulation status.","[""day care""]",true
flag-day-care-handover,DCU_HANDOVER_09,Day Care handover completeness cue,handover,moderate,Simulation-only handover completeness cue for day care workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""handover_completion"",""open_task""]","Human review required: check visible handover completeness evidence, missing information and ownership before documenting the current simulation status.","[""day care""]",true
flag-day-care-discharge,DCU_DISCHARGE_10,Day Care discharge-readiness blocker cue,discharge,high,Simulation-only discharge-readiness blocker cue for day care workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""discharge_blocker"",""discharge_checklist""]","Human review required: check visible discharge-readiness blocker evidence, missing information and ownership before documenting the current simulation status.","[""day care""]",true
flag-day-care-learning,DCU_LEARNING_11,Day Care learning prompt cue,learning,low,Simulation-only learning prompt cue for day care workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""learning_prompt"",""simulation_scenario""]","Human review required: check visible learning prompt evidence, missing information and ownership before documenting the current simulation status.","[""day care""]",true
flag-community-frailty-team-documentation,CFT_DOCUMENTATION_01,Community Frailty Team documentation gap cue,documentation,moderate,Simulation-only documentation gap cue for community frailty team workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""electrolyte_plan_gap"",""documentation_note_open""]","Human review required: check visible documentation gap evidence, missing information and ownership before documenting the current simulation status.","[""community frailty team""]",true
flag-community-frailty-team-electrolyte-review,CFT_ELECTROLYTE_REVIEW_02,Community Frailty Team electrolyte review cue,electrolyte-review,moderate,Simulation-only electrolyte review cue for community frailty team workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""potassium"",""magnesium"",""creatinine_trend"",""electrolyte_plan_gap""]","Human review required: check visible electrolyte review evidence, missing information and ownership before documenting the current simulation status.","[""community frailty team""]",true
flag-community-frailty-team-infection-review,CFT_INFECTION_REVIEW_03,Community Frailty Team infection review cue,infection-review,moderate,Simulation-only infection review cue for community frailty team workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""urine_culture"",""NEWS2"",""infection_review_note""]","Human review required: check visible infection review evidence, missing information and ownership before documenting the current simulation status.","[""community frailty team""]",true
flag-community-frailty-team-sepsis-screen,CFT_SEPSIS_SCREEN_04,Community Frailty Team sepsis-screen cue,sepsis-screen,high,Simulation-only sepsis-screen cue for community frailty team workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""sepsis_screen"",""NEWS2""]","Human review required: check visible sepsis-screen evidence, missing information and ownership before documenting the current simulation status.","[""community frailty team""]",true
flag-community-frailty-team-falls-risk,CFT_FALLS_RISK_05,Community Frailty Team falls-risk cue,falls-risk,moderate,Simulation-only falls-risk cue for community frailty team workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""falls_risk"",""mobility_note""]","Human review required: check visible falls-risk evidence, missing information and ownership before documenting the current simulation status.","[""community frailty team""]",true
flag-community-frailty-team-medication-timing,CFT_MEDICATION_TIMING_06,Community Frailty Team medication-timing cue,medication-timing,moderate,Simulation-only medication-timing cue for community frailty team workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""medication_timing"",""medicine_chart_time""]","Human review required: check visible medication-timing evidence, missing information and ownership before documenting the current simulation status.","[""community frailty team""]",true
flag-community-frailty-team-deteriorating-obs,CFT_DETERIORATING_OBS_07,Community Frailty Team deteriorating observations cue,deteriorating-obs,high,Simulation-only deteriorating observations cue for community frailty team workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""deteriorating_obs"",""NEWS2""]","Human review required: check visible deteriorating observations evidence, missing information and ownership before documenting the current simulation status.","[""community frailty team""]",true
flag-community-frailty-team-escalation,CFT_ESCALATION_08,Community Frailty Team escalation readiness cue,escalation,high,Simulation-only escalation readiness cue for community frailty team workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""NEWS2"",""active_escalation""]","Human review required: check visible escalation readiness evidence, missing information and ownership before documenting the current simulation status.","[""community frailty team""]",true
flag-community-frailty-team-handover,CFT_HANDOVER_09,Community Frailty Team handover completeness cue,handover,moderate,Simulation-only handover completeness cue for community frailty team workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""handover_completion"",""open_task""]","Human review required: check visible handover completeness evidence, missing information and ownership before documenting the current simulation status.","[""community frailty team""]",true
flag-community-frailty-team-discharge,CFT_DISCHARGE_10,Community Frailty Team discharge-readiness blocker cue,discharge,high,Simulation-only discharge-readiness blocker cue for community frailty team workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""discharge_blocker"",""discharge_checklist""]","Human review required: check visible discharge-readiness blocker evidence, missing information and ownership before documenting the current simulation status.","[""community frailty team""]",true
flag-community-frailty-team-learning,CFT_LEARNING_11,Community Frailty Team learning prompt cue,learning,low,Simulation-only learning prompt cue for community frailty team workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""learning_prompt"",""simulation_scenario""]","Human review required: check visible learning prompt evidence, missing information and ownership before documenting the current simulation status.","[""community frailty team""]",true
flag-rehab-documentation,REHAB_DOCUMENTATION_01,Rehab documentation gap cue,documentation,moderate,Simulation-only documentation gap cue for rehab workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""electrolyte_plan_gap"",""documentation_note_open""]","Human review required: check visible documentation gap evidence, missing information and ownership before documenting the current simulation status.","[""rehab""]",true
flag-rehab-electrolyte-review,REHAB_ELECTROLYTE_REVIEW_02,Rehab electrolyte review cue,electrolyte-review,moderate,Simulation-only electrolyte review cue for rehab workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""potassium"",""magnesium"",""creatinine_trend"",""electrolyte_plan_gap""]","Human review required: check visible electrolyte review evidence, missing information and ownership before documenting the current simulation status.","[""rehab""]",true
flag-rehab-infection-review,REHAB_INFECTION_REVIEW_03,Rehab infection review cue,infection-review,moderate,Simulation-only infection review cue for rehab workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""urine_culture"",""NEWS2"",""infection_review_note""]","Human review required: check visible infection review evidence, missing information and ownership before documenting the current simulation status.","[""rehab""]",true
flag-rehab-sepsis-screen,REHAB_SEPSIS_SCREEN_04,Rehab sepsis-screen cue,sepsis-screen,high,Simulation-only sepsis-screen cue for rehab workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""sepsis_screen"",""NEWS2""]","Human review required: check visible sepsis-screen evidence, missing information and ownership before documenting the current simulation status.","[""rehab""]",true
flag-rehab-falls-risk,REHAB_FALLS_RISK_05,Rehab falls-risk cue,falls-risk,moderate,Simulation-only falls-risk cue for rehab workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""falls_risk"",""mobility_note""]","Human review required: check visible falls-risk evidence, missing information and ownership before documenting the current simulation status.","[""rehab""]",true
flag-rehab-medication-timing,REHAB_MEDICATION_TIMING_06,Rehab medication-timing cue,medication-timing,moderate,Simulation-only medication-timing cue for rehab workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""medication_timing"",""medicine_chart_time""]","Human review required: check visible medication-timing evidence, missing information and ownership before documenting the current simulation status.","[""rehab""]",true
flag-rehab-deteriorating-obs,REHAB_DETERIORATING_OBS_07,Rehab deteriorating observations cue,deteriorating-obs,high,Simulation-only deteriorating observations cue for rehab workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""deteriorating_obs"",""NEWS2""]","Human review required: check visible deteriorating observations evidence, missing information and ownership before documenting the current simulation status.","[""rehab""]",true
flag-rehab-escalation,REHAB_ESCALATION_08,Rehab escalation readiness cue,escalation,high,Simulation-only escalation readiness cue for rehab workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""NEWS2"",""active_escalation""]","Human review required: check visible escalation readiness evidence, missing information and ownership before documenting the current simulation status.","[""rehab""]",true
flag-rehab-handover,REHAB_HANDOVER_09,Rehab handover completeness cue,handover,moderate,Simulation-only handover completeness cue for rehab workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""handover_completion"",""open_task""]","Human review required: check visible handover completeness evidence, missing information and ownership before documenting the current simulation status.","[""rehab""]",true
flag-rehab-discharge,REHAB_DISCHARGE_10,Rehab discharge-readiness blocker cue,discharge,high,Simulation-only discharge-readiness blocker cue for rehab workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""discharge_blocker"",""discharge_checklist""]","Human review required: check visible discharge-readiness blocker evidence, missing information and ownership before documenting the current simulation status.","[""rehab""]",true
flag-rehab-learning,REHAB_LEARNING_11,Rehab learning prompt cue,learning,low,Simulation-only learning prompt cue for rehab workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""learning_prompt"",""simulation_scenario""]","Human review required: check visible learning prompt evidence, missing information and ownership before documenting the current simulation status.","[""rehab""]",true
flag-care-of-the-elderly-documentation,COE_DOCUMENTATION_01,Care Of The Elderly documentation gap cue,documentation,moderate,Simulation-only documentation gap cue for care-of-the-elderly workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""electrolyte_plan_gap"",""documentation_note_open""]","Human review required: check visible documentation gap evidence, missing information and ownership before documenting the current simulation status.","[""care-of-the-elderly""]",true
flag-care-of-the-elderly-electrolyte-review,COE_ELECTROLYTE_REVIEW_02,Care Of The Elderly electrolyte review cue,electrolyte-review,moderate,Simulation-only electrolyte review cue for care-of-the-elderly workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""potassium"",""magnesium"",""creatinine_trend"",""electrolyte_plan_gap""]","Human review required: check visible electrolyte review evidence, missing information and ownership before documenting the current simulation status.","[""care-of-the-elderly""]",true
flag-care-of-the-elderly-infection-review,COE_INFECTION_REVIEW_03,Care Of The Elderly infection review cue,infection-review,moderate,Simulation-only infection review cue for care-of-the-elderly workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""urine_culture"",""NEWS2"",""infection_review_note""]","Human review required: check visible infection review evidence, missing information and ownership before documenting the current simulation status.","[""care-of-the-elderly""]",true
flag-care-of-the-elderly-sepsis-screen,COE_SEPSIS_SCREEN_04,Care Of The Elderly sepsis-screen cue,sepsis-screen,high,Simulation-only sepsis-screen cue for care-of-the-elderly workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""sepsis_screen"",""NEWS2""]","Human review required: check visible sepsis-screen evidence, missing information and ownership before documenting the current simulation status.","[""care-of-the-elderly""]",true
flag-care-of-the-elderly-falls-risk,COE_FALLS_RISK_05,Care Of The Elderly falls-risk cue,falls-risk,moderate,Simulation-only falls-risk cue for care-of-the-elderly workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""falls_risk"",""mobility_note""]","Human review required: check visible falls-risk evidence, missing information and ownership before documenting the current simulation status.","[""care-of-the-elderly""]",true
flag-care-of-the-elderly-medication-timing,COE_MEDICATION_TIMING_06,Care Of The Elderly medication-timing cue,medication-timing,moderate,Simulation-only medication-timing cue for care-of-the-elderly workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""medication_timing"",""medicine_chart_time""]","Human review required: check visible medication-timing evidence, missing information and ownership before documenting the current simulation status.","[""care-of-the-elderly""]",true
flag-care-of-the-elderly-deteriorating-obs,COE_DETERIORATING_OBS_07,Care Of The Elderly deteriorating observations cue,deteriorating-obs,high,Simulation-only deteriorating observations cue for care-of-the-elderly workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""deteriorating_obs"",""NEWS2""]","Human review required: check visible deteriorating observations evidence, missing information and ownership before documenting the current simulation status.","[""care-of-the-elderly""]",true
flag-care-of-the-elderly-escalation,COE_ESCALATION_08,Care Of The Elderly escalation readiness cue,escalation,high,Simulation-only escalation readiness cue for care-of-the-elderly workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""NEWS2"",""active_escalation""]","Human review required: check visible escalation readiness evidence, missing information and ownership before documenting the current simulation status.","[""care-of-the-elderly""]",true
flag-care-of-the-elderly-handover,COE_HANDOVER_09,Care Of The Elderly handover completeness cue,handover,moderate,Simulation-only handover completeness cue for care-of-the-elderly workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""handover_completion"",""open_task""]","Human review required: check visible handover completeness evidence, missing information and ownership before documenting the current simulation status.","[""care-of-the-elderly""]",true
flag-care-of-the-elderly-discharge,COE_DISCHARGE_10,Care Of The Elderly discharge-readiness blocker cue,discharge,high,Simulation-only discharge-readiness blocker cue for care-of-the-elderly workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""discharge_blocker"",""discharge_checklist""]","Human review required: check visible discharge-readiness blocker evidence, missing information and ownership before documenting the current simulation status.","[""care-of-the-elderly""]",true
flag-care-of-the-elderly-learning,COE_LEARNING_11,Care Of The Elderly learning prompt cue,learning,low,Simulation-only learning prompt cue for care-of-the-elderly workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""learning_prompt"",""simulation_scenario""]","Human review required: check visible learning prompt evidence, missing information and ownership before documenting the current simulation status.","[""care-of-the-elderly""]",true
flag-paediatrics-documentation,PAED_DOCUMENTATION_01,Paediatrics documentation gap cue,documentation,moderate,Simulation-only documentation gap cue for paediatrics workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""electrolyte_plan_gap"",""documentation_note_open""]","Human review required: check visible documentation gap evidence, missing information and ownership before documenting the current simulation status.","[""paediatrics""]",true
flag-paediatrics-electrolyte-review,PAED_ELECTROLYTE_REVIEW_02,Paediatrics electrolyte review cue,electrolyte-review,moderate,Simulation-only electrolyte review cue for paediatrics workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""potassium"",""magnesium"",""creatinine_trend"",""electrolyte_plan_gap""]","Human review required: check visible electrolyte review evidence, missing information and ownership before documenting the current simulation status.","[""paediatrics""]",true
flag-paediatrics-infection-review,PAED_INFECTION_REVIEW_03,Paediatrics infection review cue,infection-review,moderate,Simulation-only infection review cue for paediatrics workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""urine_culture"",""NEWS2"",""infection_review_note""]","Human review required: check visible infection review evidence, missing information and ownership before documenting the current simulation status.","[""paediatrics""]",true
flag-paediatrics-sepsis-screen,PAED_SEPSIS_SCREEN_04,Paediatrics sepsis-screen cue,sepsis-screen,high,Simulation-only sepsis-screen cue for paediatrics workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""sepsis_screen"",""NEWS2""]","Human review required: check visible sepsis-screen evidence, missing information and ownership before documenting the current simulation status.","[""paediatrics""]",true
